rnd
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
0,0,3489,3640,2871,10000,6.46468,0.000646468
0,1,9823,11,166,10000,4.18212,0.000418212
0,2,3560,3552,2888,10000,6.01443,0.000601443
0,3,3374,3149,3477,10000,21.1506,0.00211506
1,0,4,9833,163,10000,4.13232,0.000413232
1,1,0,0,10000,10000,2.38346,0.000238346
1,2,16,9811,173,10000,4.50017,0.000450017
1,3,38,9933,29,10000,18.1769,0.00181769
2,0,3493,3497,3010,10000,5.88143,0.000588143
2,1,9810,6,184,10000,4.1986,0.00041986
2,2,3499,3592,2909,10000,5.57472,0.000557472
2,3,3438,3147,3415,10000,19.8942,0.00198942
3,0,3182,3422,3396,10000,20.065,0.0020065
3,1,9934,48,18,10000,17.6358,0.00176358
3,2,3197,3467,3336,10000,19.1827,0.00191827
3,3,3410,3475,3115,10000,33.047,0.0033047

4,0,83,45,32,160,17072.754,108.055421519
4,1,156,0,4,160,13613.7302,86.1628329114
4,2,88,45,27,160,17612.632,111.4724088608
4,3,104,28,28,160,17431.497,110.3258797468

5,0,136,56,28,220,22582.063,103.5874541284
5,1,218,0,2,220,18960.6621,86.9755422018
5,2,133,55,32,220,23077.456,105.8598486239
5,3,132,46,42,220,22571.6592,103.539753211

6,0,99,64,37,200,18306.1249,92.4551747475
6,1,198,0,2,200,14969.1361,75.6016868687
6,2,108,50,42,200,18789.2206,94.8950494949
6,3,111,49,40,200,17343.242,87.592140404

mcts 10 2000 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,0,848,728,424,2000,184.131,0.0920657
5,1,1965,1,34,2000,150.591,0.0752957
5,2,895,660,445,2000,183.7,0.09185
5,3,836,568,596,2000,179.659,0.0898297

mcts2 10 2000 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
6,0,870,716,414,2000,178.947,0.0894733
6,1,1977,2,21,2000,159.708,0.0798539
6,2,885,647,468,2000,216.03,0.108015
6,3,896,526,578,2000,212.182,0.106091

rollout 10 2000 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,0,920,654,426,2000,222.917,0.111459
5,1,1975,1,24,2000,173.701,0.0868506
5,2,902,660,438,2000,219.045,0.109522
5,3,910,514,576,2000,210.449,0.105225

bmcts 100 1000 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time

mcts 100 100 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,0,60,27,13,100,147.849,1.47849
5,1,98,0,2,100,128.165,1.28165
5,2,52,32,16,100,163.762,1.63762
5,3,49,31,20,100,165.53,1.6553

mcts2 100 100 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
6,0,57,27,16,100,152.643,1.52643
6,1,100,0,0,100,104.622,1.04622
6,2,48,38,14,100,141.064,1.41064
6,3,56,21,23,100,140.532,1.40532

rollout 100 100 runs
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,0,52,26,22,100,150.069,1.50069
5,1,100,0,0,100,128.045,1.28045
5,2,45,37,18,100,194.342,1.94342
5,3,47,24,29,100,154.606,1.54606



heuristicc 10 10
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
3,4,33,36,31,100,3.19002,0.0319002
3,5,21,40,39,100,13.8805,0.138805
3,6,26,42,32,100,13.9328,0.139328

heuristicc 100 100
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
3,4,34,36,30,100,28.3166,0.283166
3,5,28,54,18,100,159.76,1.5976
3,6,27,54,19,100,141.313,1.41313


rollout mcts 10 10
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
4,5,35,33,32,100,16.5825,0.165825
4,6,29,39,32,100,14.7196,0.147196

rollout mcts 100 100
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
4,5,26,58,16,100,183.145,1.83145
4,6,16,64,20,100,165.168,1.65168

mcts mcts 2 10 10
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,6,46,40,14,100,26.742,0.26742

mcts mcts 2 100 100
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
5,6,51,39,10,100,278.898,2.78898


AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
4,5,26,51,23,100,1949.71,19.4971
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
3,4,35,33,32,100,268.052,2.68052
3,5,16,63,21,100,1418.91,14.1891
AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
