AI ID,AI ID,Player 1 Wins,Player 2 Wins,Draws,Max Runs,Total Time,Average Time
0,0,3489,3640,2871,10000,6.46468,0.000646468
0,1,9823,11,166,10000,4.18212,0.000418212
0,2,3560,3552,2888,10000,6.01443,0.000601443
0,3,3374,3149,3477,10000,21.1506,0.00211506
1,0,4,9833,163,10000,4.13232,0.000413232
1,1,0,0,10000,10000,2.38346,0.000238346
1,2,16,9811,173,10000,4.50017,0.000450017
1,3,38,9933,29,10000,18.1769,0.00181769
2,0,3493,3497,3010,10000,5.88143,0.000588143
2,1,9810,6,184,10000,4.1986,0.00041986
2,2,3499,3592,2909,10000,5.57472,0.000557472
2,3,3438,3147,3415,10000,19.8942,0.00198942
3,0,3182,3422,3396,10000,20.065,0.0020065
3,1,9934,48,18,10000,17.6358,0.00176358
3,2,3197,3467,3336,10000,19.1827,0.00191827
3,3,3410,3475,3115,10000,33.047,0.0033047
